mask,name,tier,elements,graph_id,resolve_mechanics,death_mechanics
0x42,Entropic Prison,Fusion,Cold + Void,99346edaa68247f4,Freeze[Cold->Cold|m=0.000|r=3.080|d=0.770|n=1|delay=0.000]; Pull[Void->Void|m=0.510|r=3.780|d=0.000|n=1|delay=0.000]; DelayedEcho[Void->Void|m=0.540|r=3.580|d=0.000|n=1|delay=0.360]; Compression[Void->Cold|Void|m=0.640|r=4.800|d=1.800|n=3|delay=0.200]; Freeze[Cold->Cold|Void|m=0.000|r=4.000|d=1.600|n=1|delay=0.000]; PulseNova[Cold->Cold|Void|m=0.760|r=3.840|d=3.700|n=5|delay=0.380],Burst[Cold->Cold|Void|m=1.180|r=4.240|d=0.000|n=1|delay=0.000]; DetonateBuildup[Cold->Cold|Void|m=0.920|r=4.400|d=0.000|n=1|delay=0.000]; Rebound[Cold->Cold|Void|m=0.760|r=4.180|d=3.900|n=7|delay=0.160]; Freeze[Cold->Cold|m=0.000|r=4.200|d=1.020|n=1|delay=0.000]; Pull[Void->Void|m=0.720|r=5.200|d=0.000|n=1|delay=0.000]
0x0C,Thunderclap,Fusion,Lightning + Physical,ff667a8b0846175f,ChainArc[Lightning->Lightning|m=0.600|r=5.200|d=0.000|n=4|delay=0.000]; Push[Physical->Physical|m=0.560|r=3.400|d=0.000|n=1|delay=0.000]; Vulnerability[Physical->Physical|m=0.116|r=3.400|d=2.000|n=1|delay=0.000]; PulseNova[Lightning->Lightning|Physical|m=0.800|r=4.800|d=2.400|n=4|delay=0.050]; Push[Physical->Lightning|Physical|m=0.900|r=4.400|d=0.000|n=1|delay=0.000]; TrailLine[Physical->Lightning|Physical|m=0.810|r=4.180|d=3.900|n=7|delay=0.490],Burst[Physical->Lightning|Physical|m=1.180|r=4.240|d=0.000|n=1|delay=0.000]; DetonateBuildup[Physical->Lightning|Physical|m=0.920|r=4.400|d=0.000|n=1|delay=0.000]; OrbitingNodes[Physical->Lightning|Physical|m=0.685|r=4.350|d=3.500|n=6|delay=0.380]; ChainArc[Lightning->Lightning|Physical|m=0.870|r=6.000|d=0.000|n=5|delay=0.000]
0x14,Neuroshock,Fusion,Lightning + Blood,d6779fe4ecc19c8e,ChainArc[Lightning->Lightning|m=0.600|r=5.040|d=0.000|n=4|delay=0.000]; Execute[Blood->Blood|m=0.340|r=3.240|d=0.000|n=1|delay=0.000]; BuildupWave[Blood->Blood|m=0.640|r=3.240|d=5.000|n=1|delay=0.000]; ChainArc[Blood->Lightning|Blood|m=0.720|r=5.500|d=0.000|n=5|delay=0.000]; Contagion[Lightning->Lightning|Blood|m=0.480|r=4.200|d=4.000|n=4|delay=0.000]; OrbitingNodes[Blood->Lightning|Blood|m=0.810|r=4.180|d=3.900|n=5|delay=0.490],Burst[Blood->Lightning|Blood|m=1.180|r=4.240|d=0.000|n=1|delay=0.000]; DetonateBuildup[Blood->Lightning|Blood|m=0.920|r=4.400|d=0.000|n=1|delay=0.000]; OrbitingNodes[Blood->Lightning|Blood|m=0.785|r=3.840|d=3.300|n=5|delay=0.270]; ChainArc[Lightning->Lightning|Blood|m=0.870|r=6.000|d=0.000|n=5|delay=0.000]
0x24,Ionized Miasma,Fusion,Lightning + Toxic,7caaa9c039558a71,ChainArc[Lightning->Lightning|m=0.600|r=5.120|d=0.000|n=4|delay=0.000]; Field[Toxic->Toxic|m=0.380|r=2.722|d=5.100|n=6|delay=0.000]; BuildupWave[Toxic->Toxic|m=0.600|r=3.320|d=5.500|n=1|delay=0.000]; Field[Lightning->Lightning|Toxic|m=0.520|r=3.800|d=5.500|n=7|delay=0.000]; ChainArc[Toxic->Lightning|Toxic|m=0.660|r=5.800|d=0.000|n=5|delay=0.000]; TrailLine[Toxic->Lightning|Toxic|m=0.810|r=4.180|d=3.900|n=5|delay=0.490],Burst[Toxic->Lightning|Toxic|m=1.180|r=4.240|d=0.000|n=1|delay=0.000]; DetonateBuildup[Toxic->Lightning|Toxic|m=0.920|r=4.400|d=0.000|n=1|delay=0.000]; OrbitingNodes[Toxic->Lightning|Toxic|m=0.760|r=4.010|d=3.300|n=7|delay=0.380]; ChainArc[Lightning->Lightning|Toxic|m=0.870|r=6.000|d=0.000|n=5|delay=0.000]
0x44,Gravity Storm,Fusion,Lightning + Void,8d15def722ca59dc,ChainArc[Lightning->Lightning|m=0.600|r=4.880|d=0.000|n=4|delay=0.000]; Pull[Void->Void|m=0.510|r=3.780|d=0.000|n=1|delay=0.000]; DelayedEcho[Void->Void|m=0.540|r=3.580|d=0.000|n=1|delay=0.360]; OrbitingNodes[Void->Lightning|Void|m=0.750|r=4.800|d=5.000|n=4|delay=0.000]; Pull[Void->Lightning|Void|m=0.620|r=5.200|d=0.000|n=1|delay=0.000]; OrbitingNodes[Lightning->Lightning|Void|m=0.810|r=4.180|d=3.900|n=5|delay=0.490],Burst[Lightning->Lightning|Void|m=1.180|r=4.240|d=0.000|n=1|delay=0.000]; DetonateBuildup[Lightning->Lightning|Void|m=0.920|r=4.400|d=0.000|n=1|delay=0.000]; OrbitingNodes[Lightning->Lightning|Void|m=0.735|r=4.010|d=3.700|n=7|delay=0.270]; ChainArc[Lightning->Lightning|Void|m=0.870|r=6.000|d=0.000|n=5|delay=0.000]; Pull[Void->Void|m=0.720|r=5.200|d=0.000|n=1|delay=0.000]
0x18,Rupture,Fusion,Physical + Blood,86ee030909e37c43,Push[Physical->Physical|m=0.560|r=3.400|d=0.000|n=1|delay=0.000]; Vulnerability[Physical->Physical|m=0.116|r=3.400|d=2.000|n=1|delay=0.000]; Execute[Blood->Blood|m=0.340|r=3.400|d=0.000|n=1|delay=0.000]; BuildupWave[Blood->Blood|m=0.640|r=3.400|d=5.000|n=1|delay=0.000]; DetonateBuildup[Physical->Physical|Blood|m=0.800|r=4.000|d=0.000|n=1|delay=0.000]; Push[Blood->Physical|Blood|m=0.760|r=4.200|d=0.000|n=1|delay=0.000]; TrailLine[Physical->Physical|Blood|m=0.710|r=4.180|d=3.500|n=6|delay=0.270],Burst[Physical->Physical|Blood|m=1.180|r=4.240|d=0.000|n=1|delay=0.000]; DetonateBuildup[Physical->Physical|Blood|m=0.920|r=4.400|d=0.000|n=1|delay=0.000]; OrbitingNodes[Physical->Physical|Blood|m=0.735|r=4.180|d=3.900|n=4|delay=0.160]
0x28,Aerosolization,Fusion,Physical + Toxic,2a25b43597b6d473,Push[Physical->Physical|m=0.560|r=3.080|d=0.000|n=1|delay=0.000]; Vulnerability[Physical->Physical|m=0.116|r=3.080|d=2.000|n=1|delay=0.000]; Field[Toxic->Toxic|m=0.380|r=2.526|d=5.100|n=6|delay=0.000]; BuildupWave[Toxic->Toxic|m=0.600|r=3.080|d=5.500|n=1|delay=0.000]; SplitFields[Toxic->Physical|Toxic|m=0.550|r=4.200|d=5.000|n=6|delay=0.000]; Push[Physical->Physical|Toxic|m=0.580|r=4.800|d=0.000|n=1|delay=0.000]; Contagion[Toxic->Physical|Toxic|m=0.710|r=4.180|d=3.500|n=6|delay=0.270],Burst[Toxic->Physical|Toxic|m=1.180|r=4.240|d=0.000|n=1|delay=0.000]; DetonateBuildup[Toxic->Physical|Toxic|m=0.920|r=4.400|d=0.000|n=1|delay=0.000]; OrbitingNodes[Toxic->Physical|Toxic|m=0.710|r=3.840|d=3.300|n=6|delay=0.380]
0x48,Implosion,Fusion,Physical + Void,e9a0d2d32c9f9eca,Push[Physical->Physical|m=0.560|r=3.240|d=0.000|n=1|delay=0.000]; Vulnerability[Physical->Physical|m=0.116|r=3.240|d=2.000|n=1|delay=0.000]; Pull[Void->Void|m=0.510|r=3.940|d=0.000|n=1|delay=0.000]; DelayedEcho[Void->Void|m=0.540|r=3.740|d=0.000|n=1|delay=0.360]; Compression[Void->Physical|Void|m=0.900|r=5.000|d=1.200|n=3|delay=0.180]; DelayedEcho[Physical->Physical|Void|m=0.820|r=4.400|d=0.000|n=2|delay=0.440]; TrailLine[Void->Physical|Void|m=0.710|r=4.180|d=3.500|n=6|delay=0.270],Burst[Void->Physical|Void|m=1.180|r=4.240|d=0.000|n=1|delay=0.000]; DetonateBuildup[Void->Physical|Void|m=0.920|r=4.400|d=0.000|n=1|delay=0.000]; OrbitingNodes[Void->Physical|Void|m=0.685|r=4.350|d=3.500|n=6|delay=0.270]; Pull[Void->Void|m=0.720|r=5.200|d=0.000|n=1|delay=0.000]
0x30,Sepsis,Fusion,Blood + Toxic,ce10acf4bf7afd60,Execute[Blood->Blood|m=0.340|r=3.320|d=0.000|n=1|delay=0.000]; BuildupWave[Blood->Blood|m=0.640|r=3.320|d=5.000|n=1|delay=0.000]; Field[Toxic->Toxic|m=0.380|r=2.722|d=5.100|n=6|delay=0.000]; BuildupWave[Toxic->Toxic|m=0.600|r=3.320|d=5.500|n=1|delay=0.000]; Contagion[Toxic->Blood|Toxic|m=0.820|r=5.000|d=5.500|n=6|delay=0.000]; Execute[Blood->Blood|Toxic|m=0.480|r=4.000|d=0.000|n=1|delay=0.000]; TrailLine[Blood->Blood|Toxic|m=0.710|r=4.180|d=3.500|n=4|delay=0.270],Burst[Blood->Blood|Toxic|m=1.180|r=4.240|d=0.000|n=1|delay=0.000]; DetonateBuildup[Blood->Blood|Toxic|m=0.920|r=4.400|d=0.000|n=1|delay=0.000]; OrbitingNodes[Blood->Blood|Toxic|m=0.810|r=4.010|d=3.700|n=5|delay=0.160]
0x50,Soul Rupture,Fusion,Blood + Void,c0dae33c8cc48dfd,Execute[Blood->Blood|m=0.340|r=3.080|d=0.000|n=1|delay=0.000]; BuildupWave[Blood->Blood|m=0.640|r=3.080|d=5.000|n=1|delay=0.000]; Pull[Void->Void|m=0.510|r=3.780|d=0.000|n=1|delay=0.000]; DelayedEcho[Void->Void|m=0.540|r=3.580|d=0.000|n=1|delay=0.360]; DelayedEcho[Void->Blood|Void|m=0.920|r=4.600|d=0.000|n=3|delay=0.460]; Execute[Blood->Blood|Void|m=0.550|r=4.200|d=0.000|n=1|delay=0.000]; OrbitingNodes[Void->Blood|Void|m=0.710|r=4.180|d=3.500|n=4|delay=0.270],Burst[Void->Blood|Void|m=1.180|r=4.240|d=0.000|n=1|delay=0.000]; DetonateBuildup[Void->Blood|Void|m=0.920|r=4.400|d=0.000|n=1|delay=0.000]; OrbitingNodes[Void->Blood|Void|m=0.785|r=3.840|d=3.300|n=5|delay=0.160]; Pull[Void->Void|m=0.720|r=5.200|d=0.000|n=1|delay=0.000]
0x60,Decay Well,Fusion,Toxic + Void,3f86fbae1f49ba91,Field[Toxic->Toxic|m=0.380|r=2.591|d=5.100|n=6|delay=0.000]; BuildupWave[Toxic->Toxic|m=0.600|r=3.160|d=5.500|n=1|delay=0.000]; Pull[Void->Void|m=0.510|r=3.860|d=0.000|n=1|delay=0.000]; DelayedEcho[Void->Void|m=0.540|r=3.660|d=0.000|n=1|delay=0.360]; Field[Void->Toxic|Void|m=0.600|r=4.500|d=6.000|n=8|delay=0.000]; Pull[Void->Toxic|Void|m=0.580|r=5.000|d=0.000|n=1|delay=0.000]; TrailLine[Void->Toxic|Void|m=0.710|r=4.180|d=3.500|n=4|delay=0.270],Burst[Void->Toxic|Void|m=1.180|r=4.240|d=0.000|n=1|delay=0.000]; DetonateBuildup[Void->Toxic|Void|m=0.920|r=4.400|d=0.000|n=1|delay=0.000]; OrbitingNodes[Void->Toxic|Void|m=0.760|r=4.180|d=3.500|n=7|delay=0.270]; Pull[Void->Void|m=0.720|r=5.200|d=0.000|n=1|delay=0.000]
0x07,Cinder Rime Volt Tempest,Compound,Fire + Cold + Lightning,f6b752c0b8552c66,BuildupWave[Fire->Fire|m=0.790|r=3.740|d=4.500|n=2|delay=0.000]; Field[Fire->Fire|m=0.400|r=2.693|d=4.350|n=6|delay=0.000]; Freeze[Cold->Cold|m=0.000|r=3.740|d=0.930|n=1|delay=0.000]; ShardNova[Cold->Cold|m=0.600|r=4.540|d=1.800|n=8|delay=0.000]; ChainArc[Lightning->Lightning|m=0.660|r=5.540|d=0.000|n=5|delay=0.000]; ThermalCycle[Fire->Fire|Cold|m=0.920|r=3.200|d=3.800|n=5|delay=0.120]; Stagger[Physical->Fire|Cold|m=0.350|r=3.000|d=1.200|n=1|delay=0.000]; OrbitingNodes[Lightning->Fire|Lightning|m=0.780|r=4.200|d=4.500|n=3|delay=0.000]; ChainArc[Fire->Fire|Lightning|m=0.720|r=5.200|d=0.000|n=4|delay=0.000]; ChainArc[Lightning->Cold|Lightning|m=0.820|r=6.000|d=0.000|n=6|delay=0.000]; Freeze[Cold->Cold|Lightning|m=0.000|r=3.400|d=1.100|n=1|delay=0.000]; SplitFields[Lightning->Fire|Cold|Lightning|m=0.800|r=4.600|d=4.050|n=7|delay=0.270],Burst[Lightning->Fire|Cold|Lightning|m=1.320|r=4.760|d=0.000|n=1|delay=0.000]; DetonateBuildup[Lightning->Fire|Cold|Lightning|m=1.020|r=4.900|d=0.000|n=1|delay=0.000]; PulseNova[Lightning->Fire|Cold|Lightning|m=0.750|r=4.430|d=4.250|n=6|delay=0.380]; SplitFields[Lightning->Fire|Cold|Lightning|m=0.650|r=4.500|d=6.100|n=5|delay=0.000]; ChainArc[Lightning->Fire|Cold|Lightning|m=0.930|r=6.500|d=0.000|n=6|delay=0.000]; Freeze[Cold->Cold|m=0.000|r=4.550|d=1.180|n=1|delay=0.000]
0x0B,Cinder Rime Ruin Maelstrom,Compound,Fire + Cold + Physical,aec514ab02f29098,BuildupWave[Fire->Fire|m=0.790|r=3.500|d=4.500|n=2|delay=0.000]; Field[Fire->Fire|m=0.400|r=2.520|d=4.350|n=6|delay=0.000]; Freeze[Cold->Cold|m=0.000|r=3.500|d=0.930|n=1|delay=0.000]; ShardNova[Cold->Cold|m=0.600|r=4.300|d=1.800|n=8|delay=0.000]; Push[Physical->Physical|m=0.630|r=3.500|d=0.000|n=1|delay=0.000]; Vulnerability[Physical->Physical|m=0.134|r=3.500|d=2.250|n=1|delay=0.000]; ThermalCycle[Fire->Fire|Cold|m=0.920|r=3.200|d=3.800|n=5|delay=0.120]; Stagger[Physical->Fire|Cold|m=0.350|r=3.000|d=1.200|n=1|delay=0.000]; Rebound[Physical->Fire|Physical|m=0.850|r=4.000|d=1.000|n=2|delay=0.220]; Field[Fire->Fire|Physical|m=0.380|r=2.500|d=3.200|n=4|delay=0.000]; ShardNova[Cold->Cold|Physical|m=0.850|r=5.000|d=2.000|n=10|delay=0.000]; Stagger[Physical->Cold|Physical|m=0.520|r=4.000|d=1.600|n=2|delay=0.000]; Rebound[Cold->Fire|Cold|Physical|m=0.900|r=4.600|d=4.450|n=8|delay=0.490],Burst[Cold->Fire|Cold|Physical|m=1.320|r=4.760|d=0.000|n=1|delay=0.000]; DetonateBuildup[Cold->Fire|Cold|Physical|m=1.020|r=4.900|d=0.000|n=1|delay=0.000]; PulseNova[Cold->Fire|Cold|Physical|m=0.900|r=4.770|d=4.050|n=5|delay=0.270]; SplitFields[Cold->Fire|Cold|Physical|m=0.650|r=4.500|d=6.100|n=5|delay=0.000]; Freeze[Cold->Cold|m=0.000|r=4.550|d=1.180|n=1|delay=0.000]
0x13,Cinder Rime Crimson Cascade,Compound,Fire + Cold + Blood,d196996cdff3aa95,BuildupWave[Fire->Fire|m=0.790|r=3.740|d=4.500|n=2|delay=0.000]; Field[Fire->Fire|m=0.400|r=2.693|d=4.350|n=6|delay=0.000]; Freeze[Cold->Cold|m=0.000|r=3.740|d=0.930|n=1|delay=0.000]; ShardNova[Cold->Cold|m=0.600|r=4.540|d=1.800|n=8|delay=0.000]; Execute[Blood->Blood|m=0.390|r=3.740|d=0.000|n=1|delay=0.000]; BuildupWave[Blood->Blood|m=0.710|r=3.740|d=5.000|n=2|delay=0.000]; ThermalCycle[Fire->Fire|Cold|m=0.920|r=3.200|d=3.800|n=5|delay=0.120]; Stagger[Physical->Fire|Cold|m=0.350|r=3.000|d=1.200|n=1|delay=0.000]; Execute[Blood->Fire|Blood|m=0.620|r=3.300|d=0.000|n=1|delay=0.000]; Contagion[Fire->Fire|Blood|m=0.580|r=4.000|d=4.500|n=3|delay=0.000]; ShardNova[Blood->Cold|Blood|m=0.680|r=4.400|d=2.400|n=8|delay=0.000]; Execute[Blood->Cold|Blood|m=0.520|r=3.800|d=0.000|n=1|delay=0.000]; SplitFields[Fire->Fire|Cold|Blood|m=0.900|r=4.600|d=4.450|n=6|delay=0.490],Burst[Fire->Fire|Cold|Blood|m=1.320|r=4.760|d=0.000|n=1|delay=0.000]; DetonateBuildup[Fire->Fire|Cold|Blood|m=1.020|r=4.900|d=0.000|n=1|delay=0.000]; PulseNova[Fire->Fire|Cold|Blood|m=0.775|r=4.260|d=3.850|n=8|delay=0.160]; SplitFields[Fire->Fire|Cold|Blood|m=0.650|r=4.500|d=6.100|n=5|delay=0.000]; Freeze[Cold->Cold|m=0.000|r=4.550|d=1.180|n=1|delay=0.000]
